"id","name","unitLastWord","unitSeqLast","word","docTokenSeqFirst","docTokenSeqLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom","haveBridges","remarks"
"JaGXgmb1XAJ","rgan lags","ང་ སྔོན་མ་ སྦག་སྦག་ ཅིག་ བརླགས་ མྱོང་པ་ རེད །",365,"ང་",1689,1689,TRUE,"i",FALSE,FALSE,"A",TRUE,TRUE,FALSE,1,TRUE,FALSE,NA
"4nlAljtxQXf","sbag sbag (specific that sangda dorje lost)","ང་ སྔོན་མ་ སྦག་སྦག་ ཅིག་ བརླགས་ མྱོང་པ་ རེད །",365,"སྦག་སྦག་ ཅིག་",1691,1692,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,3,FALSE,FALSE,NA
"WP5NwvTphAv","ma gi (Potala)","_uh_ མ་གི ར",392,"མ་གི ར",1830,1831,FALSE,"i",TRUE,FALSE,"COPLOC",FALSE,FALSE,FALSE,2,TRUE,FALSE,NA
"nPWTZjm2Pd3","po ta la thang chen","འདམ་ཁྲོམ་ ཞེ་པོ་ གཅིག་ ཡོད་ རེད་ པ །",395,"འདམ་ཁྲོམ་",1838,1838,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE,FALSE,NA
"wK6QJis5Chl","po ta la thang chen","འདི་ གས་ འདི་",398,"འདི་ གས་ འདི་",1851,1853,FALSE,"i",TRUE,FALSE,"S",FALSE,FALSE,FALSE,3,FALSE,FALSE,NA
"POgDsjpzoMs","'jag ma gling ka","ཕ་གི ར་",400,"ཕ་གི ར་",1856,1857,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,3,TRUE,TRUE,NA
"pIAHIQ6NVgK","'jag ma gling ka","འཇག་མ་ གླིང་ཁ ར་",402,"འཇག་མ་ གླིང་ཁ ར་",1860,1862,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,5,FALSE,FALSE,NA
"yFzuWAChRPgK1","dgung lo 'grel pa","དགུང་ལོ་ ལོ་ བགྲེས་པ་ སྤྱིར་བཏང་",461,"ང་ རང་ ཚོ་ དགུང་ལོ་ ལོ་ བགྲེས་པ་",2091,2096,FALSE,"i",TRUE,FALSE,"A",TRUE,TRUE,FALSE,10,FALSE,FALSE,NA
"7f5c7ZGpOuc","'jag ma gling kha (the name)","ད་ འཇག་མ་ གླིང་ཁ་ འཇག་མ་ གླིང་ཁ་ ད་ག་ རང་ གསུང་ གི་ རེད་པ །",462,"འཇག་མ་ གླིང་ཁ་ འཇག་མ་ གླིང་ཁ་",2099,2102,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,8,FALSE,FALSE,NA
"WvWjRAM8Zls","'jag ma gling ka","_H_ ད་ དེང་སང་ ཕ་གི ར་ ཡ་",483,"ཕ་གི ར་ ཡ་",2217,2219,FALSE,"i",TRUE,FALSE,"COPLOC",FALSE,FALSE,FALSE,4,FALSE,FALSE,NA
"meqi8gF8FUe","po ta la thang chen","ད- ཉིན་མ འི་ གོང་ ལ་ ཁྲོམ་ ཡོད་ པས་ མ་ཟད་ དགོང་མོ་",484,"ཁྲོམ་",2225,2225,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,1,FALSE,FALSE,NA
"VU3XJCei7jp","las khungs khag gcig","ལས་ཁུངས་ ཁག་ གི་ དེ་པ་ གཅིག་ གི་",503,"ལས་ཁུངས་ ཁག་ གི་",2316,2318,FALSE,"n",FALSE,FALSE,"COPLOC",FALSE,FALSE,FALSE,4,FALSE,FALSE,NA
"E8HByRulT1q","thugs spro","ཡང་ མིན་ ཐུགས་སྤྲོ་ ཡོད་ ན་",504,"ཐུགས་སྤྲོ་",2324,2324,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE,FALSE,NA
"Q0xXWnFF9a6","zhabs bro gtong sa + a rang 'thung sa etc","དེང་སང་ ཕ་གི ར་ #ད་གིན་ དེ་ ཞིག་ འདུག",529,"ཕ་གི ར་",2453,2454,FALSE,"i",TRUE,FALSE,"COPLOC",FALSE,FALSE,FALSE,3,TRUE,FALSE,NA
"emQASillyGL","yun nan 80","དེང་སང་ ཕ་གི ར་ #ད་གིན་ དེ་ ཞིག་ འདུག",529,"དེ་ ཞིག་",2456,2457,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,2,FALSE,FALSE,NA
"p5xBgrhrQcm","rgan lags","རྒན་ ལགས་ དེ་པ་ ཕེབས་ མྱོང་ ཡོད་ གས །",532,"རྒན་ ལགས་",2473,2474,TRUE,"i",FALSE,FALSE,"S",TRUE,FALSE,TRUE,2,FALSE,FALSE,NA
"u9DvVkzPVMx","yun nan 80","རྒན་ ལགས་ དེ་པ་ ཕེབས་ མྱོང་ ཡོད་ གས །",532,"དེ་པ་",2475,2475,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,2,TRUE,FALSE,NA
"KEM1eXNOjn4","dngul bzo","དེ་ _P_ དགོན་སྡེ་ ཁག་ གི་ ཡང་ /",546,"དེ་",2539,2539,FALSE,"i",TRUE,FALSE,"COPS",FALSE,FALSE,FALSE,1,TRUE,FALSE,NA
"4JvsDb5WZnuxR","dngul bzo","#གཅིག་ གདུགས་ རྒྱལ་མཚན་ རེད ། འདི་འདྲ་ དང་ གཅིག་ ག་རེ་ རེད །",548,"དགོན་སྡེ་ ཁག་ གི་ ཡང་ / #གཅིག་ གདུགས་ རྒྱལ་མཚན་",2541,2550,FALSE,"n",FALSE,FALSE,"PRED",FALSE,FALSE,FALSE,8,FALSE,FALSE,NA
"2z8daaSH0GQ","mo Ta btsong sa","#མོ་ཊ་ #འཚོང་ #ས་ #དེ་",580,"#མོ་ཊ་ #འཚོང་ #ས་ #དེ་",2704,2707,FALSE,"i",TRUE,FALSE,"EXIST",FALSE,FALSE,FALSE,5,FALSE,FALSE,NA
